IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.156.10,4,4,0.00,105.03,0.00
198.41.208.76,4,4,0.00,106.38,0.00
198.41.212.84,4,4,0.00,107.07,0.00
104.16.151.213,4,4,0.00,112.93,0.00
104.16.152.92,4,4,0.00,113.72,0.00
108.162.198.137,4,4,0.00,113.72,0.00
104.16.197.138,4,4,0.00,113.72,0.00
104.16.243.173,4,4,0.00,113.72,0.00
104.16.194.77,4,4,0.00,113.72,0.00
104.16.150.115,4,4,0.00,113.72,0.00
104.23.105.56,4,4,0.00,113.72,0.00
