IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.156.10,4,4,0.00,105.03,0.00
198.41.208.76,4,4,0.00,106.38,0.00
198.41.212.84,4,4,0.00,107.07,0.00
104.16.151.213,4,4,0.00,112.93,0.00
104.16.147.96,4,4,0.00,113.06,0.00
104.16.157.95,4,4,0.00,113.20,0.00
104.16.153.120,4,4,0.00,113.32,0.00
104.16.145.210,4,4,0.00,113.33,0.00
104.16.150.79,4,4,0.00,113.46,0.00
104.16.152.92,4,4,0.00,113.72,0.00
